ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRA10922,bstmgmt,,,The Rock,,,,,,School Road,,,,NE-bound,,NE,E0035580,Brislington,Bristol,,,,,,false,UKOS,362350,171204,-2.54306,51.43857,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2025-03-04T12:38:07,35,new,active
0100BRA10923,bstmgmw,,,The Rock,,,,,,School Road,,,,SW-bound,,SW,E0035580,Brislington,Bristol,,,,,,false,UKOS,362368,171218,-2.5428,51.4387,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2025-03-03T16:03:56,51,new,active
0100BRA10919,bstmgtw,,,Broomhill Road,,,,,,Birchwood Road,,,,S-bound,,S,N0077027,Broom Hill,Brislington,,,,,,false,UKOS,362424,171536,-2.54203,51.44156,BCT,MKD,OTH,,,,009,2007-05-21T00:00:00,2019-06-20T11:51:22,14,new,active
0100BRA10450,bstmgtg,,,Broomhill Road,,,,,,School Road,,,,N-bound,,N,N0077027,Broom Hill,Brislington,,,,,,false,UKOS,362398,171462,-2.54239,51.44089,BCT,MKD,OTH,,,,009,2009-06-25T00:00:00,2023-09-28T11:28:08,16,new,active
0100BRZ01680,bstgtmg,,,Raymend Road,,,,,,St John's Lane,,,,W-bound,,W,E0035676,Windmill Hill,Bristol,,,,,,false,UKOS,359302,171014,-2.58688,51.43665,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2019-07-11T16:06:09,8,new,active
0100BRA16931,bstpajd,,,Raymend Road,,,,,,Saint Johns Lane,,,,E-bound,,E,E0035676,Windmill Hill,Bristol,,,,,,false,UKOS,359246,171004,-2.58769,51.43656,BCT,MKD,OTH,,,,009,2007-03-29T00:00:00,2019-07-11T16:06:01,9,new,active
0100BRA16928,bstpatp,,,SS Great Britain,,,,,,Cumberland Road,,,,E-bound,,E,N0077031,Harbour,Bristol,,,,,,false,UKOS,357638,172155,-2.61096,51.44679,BCT,MKD,OTH,,,,009,2008-09-05T00:00:00,2023-04-21T13:37:39,32,new,active
0100BRA10747,bstdgwj,,,SS Great Britain,,,,,,Cumberland Road,,,,W-bound,,W,N0077031,Harbour,Bristol,,,,,,false,UKOS,357550,172135,-2.61222,51.4466,BCT,MKD,OTH,,,,009,2009-02-09T00:00:00,2023-04-21T13:39:52,40,new,active
0100BRA16936,bstpajp,,,Sandholme Road,,,,,,Sandholme Road,,,,A,,SW,E0035580,Brislington,Bristol,,,,,,false,UKOS,361554,171616,-2.55455,51.44222,BCT,MKD,OTH,,,,009,2006-05-02T00:00:00,2020-08-18T13:58:24,18,new,active
0100BRA16940,bstpama,,,Sandholme Road,,,,,,Sandholme Road,,,,D,,NE,E0035580,Brislington,Bristol,,,,,,false,UKOS,361718,171804,-2.55221,51.44392,BCT,CUS,OTH,,,,009,2009-02-10T00:00:00,2017-08-08T12:45:35,14,new,active
